experiment,start_date,end_date,intervention,affected_area,expected_source,data_coverage,ground_truth_references,notes
Odd-Even I,2016-01-01,2016-01-15,"Private cars restricted by registration parity, 08:00-20:00, Mon-Sat","Delhi NCT",vehicular,"11 stations (2016)","Chandra et al. 2017 (EPW); CSE Delhi assessment 2016","First trial. Two-wheelers and CNG vehicles exempt, which is most of Delhi's fleet — a small treatment on the dominant source. Winter inversion dominates the signal."
Odd-Even II,2016-04-15,2016-04-30,"Private cars restricted by registration parity, 08:00-20:00","Delhi NCT",vehicular,"11 stations (2016)","CSE assessment 2016; Delhi Govt / DIMTS report","April: no stubble burning, no winter inversion. The cleanest vehicular test available — the only window where the confound is genuinely absent."
Diwali 2016,2016-10-30,2016-10-31,"None (festival firework emissions)","Delhi NCT",firework,"11 stations (2016)","CPCB Diwali reports; SAFAR bulletins","Followed by the severe Nov 2016 smog episode. Confounded with stubble season."
Diwali 2017,2017-10-19,2017-10-20,"Supreme Court firework sales ban in NCR (sales, not use)","Delhi NCR",firework,"10 stations (2017)","SC order 2017; CPCB post-Diwali analysis","A ban on sales, not on use. Tests enforcement reach rather than the intervention itself."
Stubble season 2017,2017-10-01,2017-11-30,"None (agricultural residue burning upwind)","Punjab, Haryana -> Delhi NCT",stubble,"10 stations (2017)","IARI burnt-area estimates; SAFAR contribution estimates","Baseline stubble season for comparison."
GRAP introduction,2017-01-01,2017-12-31,"Graded Response Action Plan: staged measures triggered by AQI thresholds","Delhi NCR","policy (multi-source)","10 stations (2017)","CPCB GRAP notification 2017; EPCA reports","Staged and threshold-triggered, so there is no clean on/off date. Treat as a regime change, not an event."
Odd-Even III,2019-11-04,2019-11-15,"Private cars restricted by registration parity, 08:00-20:00","Delhi NCT",vehicular,"46 stations (2019)","CSE analysis Nov 2019; Delhi Govt statements","Ran during peak stubble season with heavy transboundary transport. The vehicular signal is buried under smoke — this is the confound the product exists to resolve."
Diwali 2019,2019-10-27,2019-10-28,"SC-permitted 'green crackers' only, 20:00-22:00 window","Delhi NCT",firework,"44 stations (2019)","CPCB Diwali 2019 report; SAFAR bulletin","THE PHASE 1 GATE. Verified: PM2.5 at Burari rose from 61 ug/m3 (15:30 IST) to 1288 ug/m3 (23:30 IST). Confounded: 1604 VIIRS fire detections in the stubble belt the same day."
COVID lockdown,2020-03-24,2020-05-31,"National lockdown: near-total halt of traffic, construction and industry","All India",multi-source,"51 stations (2020)","Numerous peer-reviewed studies (2020-21); CPCB data","The strongest natural experiment that exists — nearly every anthropogenic source stopped at once. Non-repeatable, and the counterfactual is contaminated by an unusually wet spring."
Diwali 2021,2021-11-04,2021-11-05,"Complete firework ban (Delhi Govt)","Delhi NCT",firework,"51 stations (2021)","CPCB reports; press coverage of enforcement","Total ban, widely violated. Tests enforcement, not the policy."
Construction ban (GRAP IV),2021-11-16,2021-11-22,"Construction and demolition halted, schools closed, some plants shut","Delhi NCR",construction,"51 stations (2021)","CAQM directions Nov 2021","Multiple simultaneous measures; individual effects are not separable."
Diwali 2025,2025-10-20,2025-10-21,"To be confirmed","Delhi NCT",firework,"55 stations (2025)","To be collected","Recent, with the best station coverage. Verify the exact date before use."
Stubble season 2025,2025-10-01,2025-11-30,"None (agricultural residue burning upwind)","Punjab, Haryana -> Delhi NCT",stubble,"55 stations (2025)","To be collected","Most recent full stubble season. Best coverage for a modern baseline."
